1,trohsbkbsr
2,qmydhlbdgh
3,llcczhiebt
4,ztkgmxekdl
5,iwuavlzfew
6,nupphwjzzn
7,dxqybfquma
8,lpukuksrzw
9,prcgstzssk
10,gndgukfikn
11,eawdikuhdg
12,ijdfhhwjbx
13,bxzqgtxjhv
14,caelramhcw
15,brvskavchq
16,ndkuqgsrub
17,widsjypbiu
18,hwtjpzjver
19,ksfgqoevbb
20,oprtwdmvxr
21,rhzuxeoncg
22,bxyzocnyhe
23,reuaaawkbc
24,suxdvabfvq
25,jdqgttjhas
26,qlyfglexcf
27,famyrtzoqs
28,jkecoexpkd
29,abickuvyho
30,vwpqmlrwuw

1,2,19
1,3,6
1,4,14
1,5,16
1,6,10
1,7,18
1,8,15
1,9,11
1,10,18
1,11,19
1,12,8
1,13,10
1,14,16
1,15,9
1,16,13
1,17,9
1,18,13
1,19,3
1,20,18
1,21,14
1,22,5
1,23,17
1,24,11
1,25,6
1,26,14
1,27,7
1,28,17
1,29,18
1,30,17
2,3,6
2,4,18
2,5,7
2,6,6
2,7,16
2,8,11
2,9,14
2,10,4
2,11,12
2,12,8
2,13,11
2,14,3
2,15,17
2,16,6
2,17,7
2,18,16
2,19,10
2,20,5
2,21,13
2,22,7
2,23,16
2,24,8
2,25,6
2,26,7
2,27,13
2,28,8
2,29,5
2,30,5
3,4,18
3,5,19
3,6,3
3,7,18
3,8,11
3,9,7
3,10,5
3,11,12
3,12,9
3,13,18
3,14,15
3,15,4
3,16,8
3,17,9
3,18,6
3,19,14
3,20,3
3,21,13
3,22,8
3,23,5
3,24,13
3,25,7
3,26,13
3,27,19
3,28,19
3,29,16
3,30,4
4,5,12
4,6,7
4,7,7
4,8,4
4,9,19
4,10,18
4,11,14
4,12,19
4,13,17
4,14,19
4,15,9
4,16,4
4,17,3
4,18,5
4,19,12
4,20,12
4,21,8
4,22,10
4,23,7
4,24,3
4,25,11
4,26,15
4,27,19
4,28,3
4,29,15
4,30,5
5,6,3
5,7,16
5,8,3
5,9,11
5,10,12
5,11,14
5,12,11
5,13,9
5,14,9
5,15,16
5,16,5
5,17,12
5,18,13
5,19,16
5,20,19
5,21,5
5,22,7
5,23,14
5,24,17
5,25,16
5,26,7
5,27,14
5,28,16
5,29,15
5,30,19
6,7,18
6,8,10
6,9,6
6,10,8
6,11,12
6,12,8
6,13,10
6,14,7
6,15,8
6,16,15
6,17,19
6,18,14
6,19,13
6,20,19
6,21,14
6,22,8
6,23,17
6,24,17
6,25,9
6,26,5
6,27,19
6,28,16
6,29,7
6,30,8
7,8,5
7,9,16
7,10,3
7,11,5
7,12,11
7,13,17
7,14,7
7,15,5
7,16,10
7,17,17
7,18,11
7,19,12
7,20,10
7,21,5
7,22,3
7,23,15
7,24,14
7,25,19
7,26,19
7,27,9
7,28,18
7,29,4
7,30,15
8,9,13
8,10,11
8,11,8
8,12,8
8,13,11
8,14,14
8,15,11
8,16,10
8,17,4
8,18,7
8,19,14
8,20,4
8,21,16
8,22,15
8,23,3
8,24,13
8,25,9
8,26,4
8,27,6
8,28,14
8,29,7
8,30,19
9,10,15
9,11,16
9,12,8
9,13,9
9,14,7
9,15,19
9,16,3
9,17,13
9,18,9
9,19,19
9,20,7
9,21,8
9,22,3
9,23,4
9,24,13
9,25,8
9,26,19
9,27,7
9,28,12
9,29,4
9,30,4
10,11,6
10,12,14
10,13,3
10,14,17
10,15,17
10,16,3
10,17,14
10,18,9
10,19,12
10,20,10
10,21,18
10,22,7
10,23,6
10,24,8
10,25,7
10,26,4
10,27,19
10,28,14
10,29,19
10,30,16
11,12,17
11,13,15
11,14,15
11,15,7
11,16,15
11,17,16
11,18,15
11,19,12
11,20,7
11,21,7
11,22,13
11,23,9
11,24,3
11,25,16
11,26,17
11,27,15
11,28,12
11,29,6
11,30,16
12,13,17
12,14,19
12,15,6
12,16,4
12,17,16
12,18,16
12,19,8
12,20,3
12,21,6
12,22,19
12,23,18
12,24,8
12,25,16
12,26,16
12,27,5
12,28,19
12,29,10
12,30,7
13,14,14
13,15,19
13,16,10
13,17,14
13,18,7
13,19,14
13,20,14
13,21,15
13,22,19
13,23,18
13,24,8
13,25,17
13,26,16
13,27,18
13,28,18
13,29,15
13,30,14
14,15,15
14,16,6
14,17,3
14,18,6
14,19,15
14,20,14
14,21,7
14,22,18
14,23,9
14,24,17
14,25,13
14,26,12
14,27,12
14,28,3
14,29,7
14,30,15
15,16,6
15,17,17
15,18,11
15,19,6
15,20,19
15,21,12
15,22,15
15,23,12
15,24,14
15,25,5
15,26,16
15,27,5
15,28,17
15,29,10
15,30,19
16,17,4
16,18,5
16,19,3
16,20,9
16,21,9
16,22,9
16,23,15
16,24,10
16,25,14
16,26,15
16,27,5
16,28,17
16,29,7
16,30,8
17,18,14
17,19,5
17,20,3
17,21,15
17,22,8
17,23,3
17,24,14
17,25,15
17,26,15
17,27,6
17,28,16
17,29,5
17,30,11
18,19,6
18,20,14
18,21,10
18,22,9
18,23,8
18,24,17
18,25,10
18,26,11
18,27,11
18,28,5
18,29,7
18,30,18
19,20,12
19,21,8
19,22,5
19,23,10
19,24,8
19,25,19
19,26,8
19,27,19
19,28,5
19,29,4
19,30,19
20,21,10
20,22,4
20,23,3
20,24,14
20,25,6
20,26,10
20,27,16
20,28,19
20,29,4
20,30,4
21,22,14
21,23,8
21,24,6
21,25,9
21,26,12
21,27,15
21,28,7
21,29,8
21,30,12
22,23,17
22,24,10
22,25,11
22,26,12
22,27,12
22,28,8
22,29,8
22,30,17
23,24,6
23,25,10
23,26,6
23,27,7
23,28,13
23,29,18
23,30,15
24,25,5
24,26,16
24,27,3
24,28,8
#24,29,4
#24,30,18
#25,26,14
#25,27,5
#25,28,8
25,29,12
25,30,5
26,27,9
26,28,15
26,29,8
26,30,18
27,28,13
27,29,5
27,30,10
28,29,11
28,30,11
29,30,18
